Rank,Journal
6376,European Journal of Political Theory
6377,Foreign Policy Analysis
6378,Frontiers in Human Neuroscience
6379,GM Crops and Food
6380,IET Generation
6381,Journal of Clinical and Experimental Hepatology
6382,Journal of Mathematical Behavior
6383,Journal of Midwifery and Women's Health
6384,Journal of Oceanography
6385,Journal of Psychosomatic Obstetrics and Gynaecology
6386,Leisure Studies
6387,Quaternary Research
6388,Review of International Business and Strategy
6389,Royal Society Open Science
6390,Sports
6391,Virtual Archaeology Review
6392,CSIAM Transactions on Applied Mathematics
6393,IEEE Security and Privacy
6394,Joint Commission Journal on Quality and Patient Safety
6395,Journal of the American Academy of Orthopaedic Surgeons Global Research and Reviews
6396,Langmuir
6397,Language Resources and Evaluation
6398,Mathematical Thinking and Learning
6399,Pulmonary Pharmacology and Therapeutics
6400,Revue Neurologique
6401,Sensors
6402,Bioresource Technology Reports
6403,China and World Economy
6404,IEEE Transactions on Electron Devices
6405,Journal of Contemporary Asia
6406,Music Perception
6407,Pediatric Nephrology
6408,Progress in Nuclear Energy
6409,Annals of Forest Science
6410,Experimental and Computational Multiphase Flow
6411,Geriatric Nursing
6412,International Journal of Spine Surgery
6413,Journal of Breath Research
6414,Journal of Molecular Histology
6415,Journal of Phycology
6416,Psychological Injury and Law
6417,Veterinary Clinics of North America - Small Animal Practice
6418,Acta Oncologica
6419,Global Epidemiology
6420,Journal of Food Science
6421,Lithologic Reservoirs
6422,Molecular Systems Design and Engineering
6423,Pattern Analysis and Applications
6424,Physiology and Behavior
6425,Phytopathology
6426,Soft Matter
6427,Spanish Journal of Psychology
6428,Archives of Gynecology and Obstetrics
6429,Biotropica
6430,Blood Purification
6431,Clinical and Experimental Gastroenterology
6432,Critical Discourse Studies
6433,Epidemiology and health
6434,IEEE Journal of Electromagnetics
6435,International Journal for the Psychology of Religion
6436,Journal of Applied Volcanology
6437,Journal of Family Communication
6438,Journal of Global Security Studies
6439,Journal of Polymers and the Environment
6440,Nursing Open
6441,Phytobiomes Journal
6442,Smart and Sustainable Built Environment
6443,Emerging Markets Finance and Trade
6444,Gaodianya Jishu/High Voltage Engineering
6445,Gerontology and Geriatric Medicine
6446,Human Immunology
6447,Integrated Environmental Assessment and Management
6448,International Journal of Earth Sciences
6449,Journal of Earthquake Engineering
6450,Journal of Experimental Zoology Part B: Molecular and Developmental Evolution
6451,Journal of Materials Science
6452,Legume Science
6453,mHealth
6454,Molecular Medicine Reports
6455,Nuclear Data Sheets
6456,Qualitative Research in Accounting and Management
6457,Abdominal Radiology
6458,Agricultural and Food Economics
6459,Bosnian Journal of Basic Medical Sciences
6460,Clinical Psychology in Europe
6461,Cultural Anthropology
6462,Educational Assessment
6463,Environmental Research Communications
6464,European Journal of Obstetrics
6465,Food and Chemical Toxicology
6466,IET Intelligent Transport Systems
6467,Journal of Archaeological Science: Reports
6468,Journal of Current Southeast Asian Affairs
6469,Journal of Korean Medical Science
6470,Journal of Mechanisms and Robotics
6471,Journal of Number Theory
6472,Nawpa Pacha
6473,Tobacco Induced Diseases
6474,Ultramicroscopy
6475,Universe
6476,Annals of Pharmacotherapy
6477,Canadian Journal of Development Studies
6478,Eye and Contact Lens
6479,Flow
6480,Holocene
6481,Journal of Biomedical Optics
6482,Journal of Computer Applications in Archaeology
6483,Journal of Mathematical Biology
6484,Brain
6485,Chaos
6486,ChemPlusChem
6487,Dermatologic Therapy
6488,Free Radical Research
6489,Hydrological Sciences Journal
6490,Journal of Computer Information Systems
6491,Journal of Experimental Pharmacology
6492,Management Research Review
6493,Mechanics Based Design of Structures and Machines
6494,Newsletters on Stratigraphy
6495,Reading in a Foreign Language
6496,Regulatory Toxicology and Pharmacology
6497,Thoracic Cancer
6498,Visual Computer
6499,CardioVascular and Interventional Radiology
6500,Digital Geography and Society
6501,Eating Behaviors
6502,Feminism and Psychology
6503,JMIR Human Factors
6504,Journal of Plastic
6505,Journal of Sports Economics
6506,Risk Management and Healthcare Policy
6507,Brain Tumor Pathology
6508,Calcolo
6509,Consumption Markets and Culture
6510,Fisheries Oceanography
6511,Global health
6512,International Journal of Remote Sensing
6513,International Journal of Retina and Vitreous
6514,Rangeland Ecology and Management
6515,American Journal of Clinical Pathology
6516,Asian Journal of Shipping and Logistics
6517,Cell Biochemistry and Function
6518,Eating and Weight Disorders
6519,Foot and Ankle Clinics
6520,IEEE Open Journal of Engineering in Medicine and Biology
6521,Journal of the Royal Statistical Society. Series A: Statistics in Society
6522,Journal of Urban Affairs
6523,Metroeconomica
6524,Oryx
6525,Pure and Applied Mathematics Quarterly
6526,Regenerative Therapy
6527,Surgical Clinics of North America
6528,Transgender Health
6529,Analysis and Mathematical Physics
6530,Chinese Geographical Science
6531,Cornell Law Review
6532,Fire Safety Journal
6533,Hydrobiologia
6534,Journal of Family Issues
6535,Journal of Holistic Nursing
6536,Nephron
6537,Nursing Forum
6538,Reactive and Functional Polymers
6539,Saudi Journal of Biological Sciences
6540,Ultrasonography
6541,ACS Earth and Space Chemistry
6542,Advances in Aerodynamics
6543,Australian Journal of Public Administration
6544,BMC Pulmonary Medicine
6545,European Journal of Engineering Education
6546,Experimental Physiology
6547,Grass and Forage Science
6548,In Silico Plants
6549,Indian Journal of Psychological Medicine
6550,Intelligence-Based Medicine
6551,Journal of Cutaneous Medicine and Surgery
6552,Journal of Open Research Software
6553,Journal of the Peripheral Nervous System
6554,Korean Journal of Pain
6555,Mining Science and Technology(Russian Federation)
6556,Postgraduate Medicine
6557,Social Politics
6558,Test
6559,Clinical Nutrition ESPEN
6560,Scandinavian Journal of Management
6561,Scandinavian Journal of Surgery
6562,Scholarship of Teaching and Learning in Psychology
6563,World Journal of Surgery
6564,Asian American Journal of Psychology
6565,Biochimica et Biophysica Acta - Proteins and Proteomics
6566,BJPsych Bulletin
6567,China Information
6568,Current Opinion in Clinical Nutrition and Metabolic Care
6569,European Early Childhood Education Research Journal
6570,Gastroenterology and Hepatology
6571,International Journal of Dermatology
6572,Journal of International Consumer Marketing
6573,Journal of Personnel Psychology
6574,Journal of Political Marketing
6575,Journal of Professions and Organization
6576,Journal of Research in Innovative Teaching and Learning
6577,Plasma Sources Science and Technology
6578,Research in Learning Technology
6579,Trauma Surgery and Acute Care Open
6580,Biochemical and Biophysical Research Communications
6581,Chinese Journal of Population Resources and Environment
6582,Conference Proceedings - IEEE Applied Power Electronics Conference and Exposition - APEC
6583,Energy Science and Engineering
6584,Forensic Toxicology
6585,IEEE Microwave and Wireless Components Letters
6586,IEEE Solid-State Circuits Letters
6587,International Journal of Tourism Cities
6588,IoT
6589,Journal of educational administration and history
6590,Past and Present
6591,Physiological Reports
6592,Research and Practice for Persons with Severe Disabilities
6593,Tissue Engineering and Regenerative Medicine
6594,Aeolian Research
6595,Biomaterials Translational
6596,Cardiovascular Therapeutics
6597,Current Sustainable/Renewable Energy Reports
6598,Frontiers in Toxicology
6599,Inquiry (United Kingdom)
6600,Journal of Health Services Research and Policy
6601,Journal of Physics A: Mathematical and Theoretical
6602,Knowledge Engineering Review
6603,Materials Chemistry and Physics
6604,Pacific Philosophical Quarterly
6605,Parasite
6606,Speech Communication
6607,Veterinary and Comparative Oncology
6608,Cell Structure and Function
6609,Civil Engineering Journal (Iran)
6610,Frontiers in Neuroinformatics
6611,International Journal of Qualitative Studies on Health and Well-being
6612,Journal of Cardiovascular Translational Research
6613,Journal of Cellular Biochemistry
6614,Journal of Computing and Information Science in Engineering
6615,Journal of Occupational Health
6616,Pediatric Clinics of North America
6617,Translation
6618,American Journal of Primatology
6619,Biochimica et Biophysica Acta - General Subjects
6620,Cancer Nursing
6621,Current Pain and Headache Reports
6622,Digital Health
6623,European Journal of Population
6624,Fetal Diagnosis and Therapy
6625,Irish Veterinary Journal
6626,Journal of Interventional Cardiac Electrophysiology
6627,Journal of Vascular and Interventional Radiology
6628,Applied Nursing Research
6629,Building Research and Information
6630,Canadian Journal of Fisheries and Aquatic Sciences
6631,Flexible Services and Manufacturing Journal
6632,Health (United Kingdom)
6633,Journal of Bone and Mineral Metabolism
6634,Journal of managed care &amp; specialty pharmacy
6635,Journal of Policy and Practice in Intellectual Disabilities
6636,Journal of Psychoactive Drugs
6637,Journal of Scleroderma and Related Disorders
6638,Cadernos de Saude Publica
6639,Clinical Practice and Epidemiology in Mental Health
6640,Combinatorial Theory
6641,Community
6642,Current Diabetes Reviews
6643,Health Promotion Practice
6644,International journal of older people nursing
6645,Learning Disabilities Research and Practice
6646,Bioinorganic Chemistry and Applications
6647,Biological Journal of the Linnean Society
6648,Biological Trace Element Research
6649,Chronic Diseases and Translational Medicine
6650,Cognitive Neuropsychology
6651,FASEB BioAdvances
6652,Geriatrics and Gerontology International
6653,Intelligent Service Robotics
6654,Internal and Emergency Medicine
6655,Journal of Animal Science
6656,Journal of Applied Microbiology
6657,Managerial Auditing Journal
6658,Pancreas
6659,Phenomenology and the Cognitive Sciences
6660,Religion
6661,Asia-Pacific Journal of Business Administration
6662,Atmospheric and Oceanic Science Letters
6663,Climate
6664,Connection Science
6665,International Journal of Mechanics and Materials in Design
6666,International Journal of Sport Nutrition and Exercise Metabolism
6667,Journal of Supercomputing
6668,Medical Oncology
6669,Propulsion and Power Research
6670,Aerosol Science and Technology
6671,BMC Women's Health
6672,Cognitive Neurodynamics
6673,International Journal of Cognitive Therapy
6674,International Journal of Particle Therapy
6675,International Review of Education
6676,Journal of Bisexuality
6677,Journal of Circadian Rhythms
6678,Journal of Enterprising Communities
6679,Journal of Mass Spectrometry and Advances in the Clinical Lab
6680,Journal of Mathematical Neuroscience
6681,Psychology
6682,Queueing Systems
6683,Applied Cognitive Psychology
6684,ChemMedChem
6685,Education and Training
6686,Expert Systems
6687,International Dairy Journal
6688,Journal of Zoological Systematics and Evolutionary Research
6689,Law
6690,Metallurgical and Materials Transactions A: Physical Metallurgy and Materials Science
6691,Molecular Omics
6692,Pulmonary Circulation
6693,Respiratory Care
6694,Current Urology Reports
6695,Drones
6696,Estuarine
6697,IEEE Journal on Exploratory Solid-State Computational Devices and Circuits
6698,Innate Immunity
6699,Jornal de Pediatria
6700,Journal of Interactive Media in Education
6701,Journal of Physical Chemistry B
6702,Presse Medicale
6703,Advances in Simulation
6704,AI (Switzerland)
6705,Application of Clinical Genetics
6706,Arachnology
6707,Current Medicinal Chemistry
6708,Current Problems in Cancer
6709,Development Growth and Differentiation
6710,European Journal of Cancer
6711,Forestry
6712,Journal of Algebraic Combinatorics
6713,Journal of Translational Internal Medicine
6714,Mind
6715,Mycological Progress
6716,Pathogens and Disease
6717,Asian Journal of Social Psychology
6718,Biology Open
6719,CardioRenal Medicine
6720,Diangong Jishu Xuebao/Transactions of China Electrotechnical Society
6721,Educational Action Research
6722,Electronic Structure
6723,Geographical Journal
6724,Head and Face Medicine
6725,Informatics in Medicine Unlocked
6726,Journal of Dental Sciences
6727,Journal of Fluency Disorders
6728,Journal of Leisure Research
6729,Langenbeck's Archives of Surgery
6730,Metals and Materials International
6731,Public Choice
6732,R Journal
6733,Resuscitation Plus
6734,Roeper Review
6735,Updates in Surgery
6736,World Archaeology
6737,BioResearch Open Access
6738,Cardiovascular Toxicology
6739,European Business Organization Law Review
6740,Frontiers in Artificial Intelligence
6741,Genesis (United States)
6742,Immunity
6743,International Journal of Managing Projects in Business
6744,Journal of Anatomy
6745,Journal of Human Capital
6746,Journal of Language and Politics
6747,Journal of the American College of Emergency Physicians Open
6748,MIT Sloan Management Review
6749,Neurosurgery Clinics of North America
6750,Protein Engineering
6751,Urban Research and Practice
6752,Bioresources and Bioprocessing
6753,Communications in Mathematical Sciences
6754,Cooperation and Conflict
6755,European Journal of Politics and Gender
6756,Facial Plastic Surgery Clinics of North America
6757,International Journal of Early Childhood
6758,International Journal of Hospitality and Tourism Administration
6759,International Journal of Women's Health
6760,Journal of Experimental Orthopaedics
6761,Journal of Linguistic Anthropology
6762,Journal of Neuroradiology
6763,Physical Review Accelerators and Beams
6764,Psychology in the Schools
6765,Revista Latina de Comunicacion Social
6766,Rural Sociology
6767,Sociology of Sport Journal
6768,Advances and Applications in Bioinformatics and Chemistry
6769,Archives of Clinical Neuropsychology
6770,EMA - Emergency Medicine Australasia
6771,Infant and Child Development
6772,Journal of Educational Measurement
6773,Journal of Electroanalytical Chemistry
6774,Journal of Industrial Relations
6775,Journal of International Entrepreneurship
6776,Journal of the Academy of Consultation-Liaison Psychiatry
6777,Musculoskeletal Science and Practice
6778,Musculoskeletal Surgery
6779,Requirements Engineering
6780,Bioscience Reports
6781,Construction Innovation
6782,Criminal Justice Studies
6783,Data Intelligence
6784,Developmental Child Welfare
6785,Elementary School Journal
6786,Emerging Science Journal
6787,IET Collaborative Intelligent Manufacturing
6788,International Journal of Disaster Risk Science
6789,Linguistic and Philosophical Investigations
6790,Pharmaceutical Biology
6791,Review of Symbolic Logic
6792,ACI Materials Journal
6793,Behavioural Neurology
6794,BMJ Neurology Open
6795,Canadian Journal of Ophthalmology
6796,Clinical Transplantation
6797,Food Science and Nutrition
6798,Frontiers of Mechanical Engineering
6799,IJC Heart and Vasculature
6800,Journal of Digital Learning in Teacher Education
6801,Journal of Human Hypertension
6802,Journal of Land Use Science
6803,Microbial Pathogenesis
6804,Parkinson's Disease
6805,Reference Services Review
6806,Sleep and Breathing
6807,Veterinary Surgery
6808,Alcohol and Alcoholism
6809,European Journal of Pharmaceutical Sciences
6810,Global Bioethics
6811,International Journal of Leadership in Education
6812,Journal of Applied Communication Research
6813,Journal of Homeland Security and Emergency Management
6814,Journal of Medical Microbiology
6815,Molecular Imaging and Biology
6816,Therapeutics and Clinical Risk Management
6817,Written Communication
6818,Annals of Biomedical Engineering
6819,Annals of the Entomological Society of America
6820,Bioinspiration and Biomimetics
6821,Cultural Geographies
6822,Epigenomics
6823,Innovative Higher Education
6824,International Journal of Distance Education Technologies
6825,Journal of Cultural Economics
6826,Journal of Geodynamics
6827,Journal of Neurosurgery: Pediatrics
6828,Journal of the World Aquaculture Society
6829,Philosophical Topics
6830,SICOT-J
6831,Biological Research for Nursing
6832,Chemical Engineering Science: X
6833,Cleaner and Responsible Consumption
6834,Connective Tissue Research
6835,Forensic Science International
6836,Geothermal Energy
6837,Integrative Organismal Biology
6838,Journal of Combinatorial Designs
6839,Journal of Developmental and Life-Course Criminology
6840,Journal of Sedimentary Research
6841,Journal of Social Psychology
6842,Measurement in Physical Education and Exercise Science
6843,Microbiology (United Kingdom)
6844,Allergy
6845,Atti della Accademia Nazionale dei Lincei
6846,BMC Ophthalmology
6847,Epileptic Disorders
6848,Journal of Child and Adolescent Trauma
6849,Journal of Digestive Diseases
6850,Journal of Ophthalmic Inflammation and Infection
6851,Nitric Oxide - Biology and Chemistry
6852,Qubahan Academic Journal
6853,Tropical Medicine and Infectious Disease
6854,Venture Capital
6855,Veterinary Pathology
6856,World Journal of Gastrointestinal Oncology
6857,Biofuels
6858,Clinics in Sports Medicine
6859,Discourse Studies
6860,Environmental Processes
6861,Journal of Obsessive-Compulsive and Related Disorders
6862,Journal of Surgical Research
6863,Journal of Technical Writing and Communication
6864,Journal of the Mechanical Behavior of Biomedical Materials
6865,Physiology and Molecular Biology of Plants
6866,Research Quarterly for Exercise and Sport
6867,Arts Education Policy Review
6868,BMC Gastroenterology
6869,Current Research in Ecological and Social Psychology
6870,Extracellular Vesicles and Circulating Nucleic Acids
6871,International Journal of Innovation Science
6872,Journal of graduate medical education
6873,Journal of Liposome Research
6874,Journal of Molecular Neuroscience
6875,Molecular Reproduction and Development
6876,Oncology Reviews
6877,Women's Health
6878,Annual of the British School at Athens
6879,Dianli Zidonghua Shebei / Electric Power Automation Equipment
6880,Evolving Systems
6881,Frontiers in Computer Science
6882,International Journal of Prosthodontics
6883,Journal of Cryptographic Engineering
6884,Journal of Decision Systems
6885,Journal of Housing Economics
6886,Journal of Industrial and Production Engineering
6887,Journal of Industrial Microbiology and Biotechnology
6888,Journal of Physical and Chemical Reference Data
6889,Journal of the International Association of Providers of AIDS Care
6890,Journal of the Science of Food and Agriculture
6891,Learning Disability Quarterly
6892,Mobile Networks and Applications
6893,Nursing Research
6894,Pediatric Cardiac Surgery Annual
6895,Physical Biology
6896,Quantitative Imaging in Medicine and Surgery
6897,Altex
6898,Bioorganic Chemistry
6899,BMC Emergency Medicine
6900,Frontline Learning Research
6901,International Journal of Industrial Ergonomics
6902,Journal for STEM Education Research
6903,Journal of Island and Coastal Archaeology
6904,Multimedia Systems
6905,Natural Products and Bioprospecting
6906,Neuroscience Letters
6907,Pediatric Cardiology
6908,Politics
6909,Aging Male
6910,AIMS Neuroscience
6911,Basic and Clinical Pharmacology and Toxicology
6912,Communications on Pure and Applied Analysis
6913,Current Opinion in Organ Transplantation
6914,Digestive Diseases
6915,Environments - MDPI
6916,Journal of Cardiothoracic and Vascular Anesthesia
6917,Journal of Microelectromechanical Systems
6918,Journal of Non-Newtonian Fluid Mechanics
6919,Journal of Thrombosis and Thrombolysis
6920,Learned Publishing
6921,Medicina del Lavoro
6922,Molecules
6923,Safety and Health at Work
6924,Acta Anaesthesiologica Scandinavica
6925,Arthropod Systematics and Phylogeny
6926,ChemNanoMat
6927,Infection and Drug Resistance
6928,Journal of Economic Entomology
6929,Journal of Exercise Science and Fitness
6930,Journal of Global Optimization
6931,Mycopathologia
6932,Quality and Quantity
6933,Southeastern Archaeology
6934,Case Reports in Immunology
6935,Chinese Optics Letters
6936,ClinicoEconomics and Outcomes Research
6937,Integrating Materials and Manufacturing Innovation
6938,International Planning Studies
6939,Journal of International Maritime Safety
6940,Journal of Mammalian Evolution
6941,Journal of Proteomics
6942,Microchemical Journal
6943,Vanderbilt Law Review
6944,Advanced Modeling and Simulation in Engineering Sciences
6945,Asian Nursing Research
6946,Autoimmunity
6947,Baltic Journal of Management
6948,Computational Materials Science
6949,Current Eye Research
6950,Health Education Research
6951,International Journal of Sports Science and Coaching
6952,Journal of Benefit-Cost Analysis
6953,Journal of Biotechnology
6954,Journal of Human Development and Capabilities
6955,Journal of Social and Political Psychology
6956,Linguistics and Education
6957,Nordic Journal of Psychiatry
6958,Proceedings - Real-Time Systems Symposium
6959,Rhizosphere
6960,Analyses of Social Issues and Public Policy
6961,Botanical Studies
6962,Erkenntnis
6963,Immunogenetics
6964,JMIR Rehabilitation and Assistive Technologies
6965,Journal of Pharmaceutical Policy and Practice
6966,Logistics
6967,Metabolomics
6968,Neuronal Signaling
6969,Revista de Saude Publica
6970,Acta Biochimica et Biophysica Sinica
6971,Animal Biotelemetry
6972,Autonomous Intelligent Systems
6973,Chemical Engineering and Processing: Process Intensification
6974,Energy Advances
6975,Frontiers in Sociology
6976,International Journal of Data Science and Analytics
6977,Journal of Marital and Family Therapy
6978,Journal of Patient Safety
6979,Journal of Terramechanics
6980,Journal of the American Helicopter Society
6981,Journal of the Royal Statistical Society. Series C: Applied Statistics
6982,Nami Jishu yu Jingmi Gongcheng/Nanotechnology and Precision Engineering
6983,Photonic Sensors
6984,RSF
6985,Veterinary Journal
6986,Water Science and Engineering
6987,Zoosystematics and Evolution
6988,ACM Transactions on Internet of Things
6989,Advanced Agrochem
6990,Cities and Health
6991,Frontiers in Agronomy
6992,Infection
6993,Journal of Computational Chemistry
6994,Methodology
6995,Neurological Sciences
6996,Stochastics and Dynamics
6997,Theriogenology
6998,BioPsychoSocial Medicine
6999,BMC Oral Health
7000,Clean Technologies
7001,Depositional Record
7002,Facial Plastic Surgery and Aesthetic Medicine
7003,Fatigue and Fracture of Engineering Materials and Structures
7004,Journal of Civil Engineering and Management
7005,Journal of Pension Economics and Finance
7006,Neurotoxicology and Teratology
7007,Scandinavian Journal of Occupational Therapy
7008,Soil Systems
7009,Theoretical and Applied Mechanics Letters
7010,BMC Developmental Biology
7011,Bulletin des Sciences Mathematiques
7012,Cardiology Clinics
7013,Egyptian Journal of Aquatic Research
7014,European Journal of Medical Research
7015,IET Power Electronics
7016,International Peacekeeping
7017,Journal of Neurogenetics
7018,Journal of Personalized Medicine
7019,Journal of Statistical Planning and Inference
7020,Nano-Structures and Nano-Objects
7021,Psychology of Music
7022,Aquacultural Engineering
7023,Arabian Archaeology and Epigraphy
7024,Brodogradnja
7025,Deep-Sea Research Part I: Oceanographic Research Papers
7026,European Journal of Contraception and Reproductive Health Care
7027,Journal of Contemporary Accounting and Economics
7028,Journal of LGBT Youth
7029,Journal of Marketing Analytics
7030,Journal of Portfolio Management
7031,Naunyn-Schmiedeberg's Archives of Pharmacology
7032,Pamatky Archeologicke
7033,Plant Growth Regulation
7034,Semigroup Forum
7035,AICHE Journal
7036,All Azimuth
7037,Bioethics
7038,Cretaceous Research
7039,Energy
7040,Energy Efficiency
7041,English Language and Linguistics
7042,Frontiers in Veterinary Science
7043,Innovations in Education and Teaching International
7044,International Journal of Food Sciences and Nutrition
7045,International Journal of Nursing Practice
7046,Israel Journal of Health Policy Research
7047,Journal of Anesthesia
7048,Journal of Biomechanics
7049,Journal of Small Animal Practice
7050,Journal of Soil Science and Plant Nutrition
7051,Journal of the Saudi Society of Agricultural Sciences
7052,Seminars in Neurology
7053,Swiss Journal of Geosciences
7054,Accounting in Europe
7055,Advances in Applied Mathematics
7056,Annales d'Endocrinologie
7057,Behavioural and Cognitive Psychotherapy
7058,Cellular Physiology and Biochemistry
7059,Current Opinion in Supportive and Palliative Care
7060,Energy Sources
7061,Environmental Conservation
7062,Heart and Lung: Journal of Acute and Critical Care
7063,International Health
7064,International Journal of High Performance Computing Applications
7065,International Wound Journal
7066,Journal of Information Technology in Construction
7067,Probation Journal
7068,Rapid Prototyping Journal
7069,Shoulder and Elbow
7070,Translation Studies
7071,World Journal of Surgical Oncology
7072,Acta Metallurgica Sinica (English Letters)
7073,BMC Neurology
7074,Crystallography Reviews
7075,Journal of rheumatology. Supplement
7076,Korean Circulation Journal
7077,Materials Science in Semiconductor Processing
7078,Migration Studies
7079,Pharmaceutical Medicine
7080,Photodermatology Photoimmunology and Photomedicine
7081,Veterinary Parasitology
7082,Amino Acids
7083,Computer Methods and Programs in Biomedicine Update
7084,Current Opinion in Allergy and Clinical Immunology
7085,Disasters
7086,Experimental Thermal and Fluid Science
7087,Journal of Bionic Engineering
7088,Medical Cannabis and Cannabinoids
7089,Microvascular Research
7090,Movement Disorders Clinical Practice
7091,Nations and Nationalism
7092,Neurology International
7093,Sensing and Bio-Sensing Research
7094,Stress
7095,Algebras and Representation Theory
7096,Annals of Actuarial Science
7097,Culture
7098,European Journal of International Law
7099,European Journal of Orthopaedic Surgery and Traumatology
7100,Frontiers in Computational Neuroscience
7101,Groups
7102,Human Microbiome Journal
7103,IMA Journal of Management Mathematics
7104,International Journal of Finance and Economics
7105,International Journal of Primatology
7106,International Journal of Sports Medicine
7107,Journal of Contemporary Psychotherapy
7108,Journal of Food Composition and Analysis
7109,Land
7110,Marine Biology
7111,Quest
7112,Wildlife Biology
7113,Applied Mathematics and Mechanics (English Edition)
7114,Astronomy and Computing
7115,Economics Letters
7116,Engineering Analysis with Boundary Elements
7117,European archives of paediatric dentistry : official journal of the European Academy of Paediatric Dentistry
7118,Feminist Anthropology
7119,Hereditary Cancer in Clinical Practice
7120,IEEE Transactions on Magnetics
7121,International Journal of Adhesion and Adhesives
7122,International Journal of Neutrosophic Science
7123,Magnetic Resonance in Medical Sciences
7124,Physics and Chemistry of the Earth
7125,Western Journal of Nursing Research
7126,Yale Journal of Biology and Medicine
7127,Advances in Radiation Oncology
7128,Australian Journal of Social Issues
7129,Injury
7130,International Journal of Urban Sustainable Development
7131,Journal of Clinical Psychopharmacology
7132,Journal of the American Society of Cytopathology
7133,Knowledge Management Research and Practice
7134,Ornithology
7135,Physical and Engineering Sciences in Medicine
7136,Reading and Writing Quarterly
7137,SERIEs
7138,Apidologie
7139,European Journal of Clinical Pharmacology
7140,Globalizations
7141,Health Policy OPEN
7142,International Journal of Integrated Supply Management
7143,Journal of Management Accounting Research
7144,Journal of Vocational Education and Training
7145,Legal and Criminological Psychology
7146,Mathematics and Financial Economics
7147,Modern Rheumatology
7148,Renal Failure
7149,AMB Express
7150,Experimental and Molecular Pathology
7151,Extremophiles
7152,Geografiska Annaler
7153,Journal of American College Health
7154,Journal of Applied Mechanics
7155,Occupational Medicine
7156,Ocean Dynamics
7157,Psychiatry Investigation
7158,Social Work
7159,Sub-Cellular Biochemistry
7160,Therapeutic Advances in Vaccines and Immunotherapy
7161,Transplantation Direct
7162,Child: Care
7163,Competitiveness Review
7164,Cultural Studies of Science Education
7165,Educational Philosophy and Theory
7166,English Today
7167,Food and Bioproducts Processing
7168,Gene
7169,Human and Ecological Risk Assessment (HERA)
7170,International Journal of Sustainable Engineering
7171,Journal of the American Society for Mass Spectrometry
7172,Journal of Tourism and Cultural Change
7173,Journal on Data Semantics
7174,Plant Signaling and Behavior
7175,Political Research Exchange
7176,SPE Reservoir Evaluation and Engineering
7177,ACM Transactions on Economics and Computation
7178,BMC Biotechnology
7179,BMJ Paediatrics Open
7180,Clinical Medicine Insights: Endocrinology and Diabetes
7181,Gait and Posture
7182,International Journal of Bioprinting
7183,International Labour Review
7184,Journal of Organic Chemistry
7185,Journal of Plant Biology
7186,Laboratory Animal Research
7187,Marine Mammal Science
7188,Tropical Medicine and Health
7189,Water (Switzerland)
7190,Annals of Pure and Applied Logic
7191,Array
7192,Biophysical Chemistry
7193,Current Sociology
7194,International Journal of Information Technology and Decision Making
7195,Journal of Artificial Intelligence and Technology
7196,Optimization Letters
7197,Algae
7198,Annual Review of Law and Social Science
7199,Cancer Genomics and Proteomics
7200,Current Research in Toxicology
7201,European Journal of Developmental Psychology
7202,International Journal of Telerehabilitation
7203,Journal of Analytical Atomic Spectrometry
7204,Journal of Cultural Heritage
7205,Journal of Family and Economic Issues
7206,Journal of Functional Biomaterials
7207,Journal of Thoracic Imaging
7208,Pragmatics
7209,Public Transport
7210,Ethics in Science and Environmental Politics
7211,Hydrogeology Journal
7212,Inflammatory Intestinal Diseases
7213,International Journal of Green Energy
7214,International Journal of Information and Learning Technology
7215,Metabolism and Target Organ Damage
7216,Physical Chemistry Chemical Physics
7217,Proceedings of the IEEE Conference on Decision and Control
7218,SN Computer Science
7219,Adsorption
7220,Hepatobiliary and Pancreatic Diseases International
7221,International Journal of Communication
7222,Journal of the Mathematical Society of Japan
7223,Seminars in Ophthalmology
7224,Wildlife Research
7225,Anaerobe
7226,Archaeometry
7227,Cardiovascular Endocrinology and Metabolism
7228,Clinical Anatomy
7229,Comparative European Politics
7230,Environmental Justice
7231,Journal of Drug Delivery Science and Technology
7232,Journal of Manufacturing Science and Engineering
7233,Journal of Ophthalmology
7234,Surgery Today
7235,World Neurosurgery: X
7236,Advances in Difference Equations
7237,American Journal of Medical Genetics
7238,Biochemical Engineering Journal
7239,Clinics in Perinatology
7240,Environmental Science: Atmospheres
7241,Epidemiologia e servicos de saude : revista do Sistema Unico de Saude do Brasil
7242,Frontiers of Structural and Civil Engineering
7243,Infection
7244,Interdisciplinary Topics in Gerontology and Geriatrics
7245,Journal of Central South University
7246,Journal of Computational Social Science
7247,Journal of Palaeogeography
7248,Journal of Perinatal Medicine
7249,Molecular Breeding
7250,Molecular Catalysis
7251,Photodiagnosis and Photodynamic Therapy
7252,European Journal of Criminology
7253,Journal of Chromatography A
7254,Journal of Clinical Pharmacology
7255,Journal of Imaging
7256,Journal of Information Technology Education:Research
7257,Pathogens and Global Health
7258,Proceedings of the IEEE Symposium on Reliable Distributed Systems
7259,Aerosol and Air Quality Research
7260,Archives of Psychiatric Nursing
7261,British Journal of Social Work
7262,China Quarterly
7263,Citizen Science: Theory and Practice
7264,International Communication Gazette
7265,Journal of Adult and Continuing Education
7266,Journal of Energy Resources Technology
7267,Journal of Oral Pathology and Medicine
7268,Neuropeptides
7269,Pathology and Oncology Research
7270,Presidential Studies Quarterly
